Количество новостей и слов 'Смута' по дням:
Дата: 1.05.24, Всего новостей: 24, Слов 'Смута': 0
Дата: 10.05.24, Всего новостей: 29, Слов 'Смута': 0
Дата: 11.05.24, Всего новостей: 29, Слов 'Смута': 0
Дата: 12.05.24, Всего новостей: 43, Слов 'Смута': 0
Дата: 13.05.24, Всего новостей: 52, Слов 'Смута': 0
Дата: 14.05.24, Всего новостей: 67, Слов 'Смута': 0
Дата: 15.05.24, Всего новостей: 55, Слов 'Смута': 0
Дата: 16.05.24, Всего новостей: 47, Слов 'Смута': 1
Дата: 17.05.24, Всего новостей: 46, Слов 'Смута': 0
Дата: 18.05.24, Всего новостей: 27, Слов 'Смута': 0
Дата: 19.05.24, Всего новостей: 28, Слов 'Смута': 0
Дата: 2.05.24, Всего новостей: 25, Слов 'Смута': 0
Дата: 20.04.24, Всего новостей: 8, Слов 'Смута': 0
Дата: 20.05.24, Всего новостей: 61, Слов 'Смута': 0
Дата: 21.04.24, Всего новостей: 27, Слов 'Смута': 0
Дата: 21.05.24, Всего новостей: 44, Слов 'Смута': 0
Дата: 22.04.24, Всего новостей: 43, Слов 'Смута': 0
Дата: 22.05.24, Всего новостей: 48, Слов 'Смута': 0
Дата: 23.04.24, Всего новостей: 44, Слов 'Смута': 0
Дата: 23.05.24, Всего новостей: 44, Слов 'Смута': 0
Дата: 24.04.24, Всего новостей: 45, Слов 'Смута': 0
Дата: 24.05.24, Всего новостей: 12, Слов 'Смута': 0
Дата: 25.04.24, Всего новостей: 44, Слов 'Смута': 0
Дата: 26.04.24, Всего новостей: 44, Слов 'Смута': 0
Дата: 27.04.24, Всего новостей: 28, Слов 'Смута': 0
Дата: 28.04.24, Всего новостей: 26, Слов 'Смута': 0
Дата: 29.04.24, Всего новостей: 24, Слов 'Смута': 1
Дата: 3.05.24, Всего новостей: 25, Слов 'Смута': 0
Дата: 30.04.24, Всего новостей: 24, Слов 'Смута': 0
Дата: 4.05.24, Всего новостей: 24, Слов 'Смута': 0
Дата: 5.05.24, Всего новостей: 25, Слов 'Смута': 0
Дата: 6.05.24, Всего новостей: 25, Слов 'Смута': 0
Дата: 7.05.24, Всего новостей: 30, Слов 'Смута': 1
Дата: 8.05.24, Всего новостей: 24, Слов 'Смута': 0
Дата: 9.05.24, Всего новостей: 24, Слов 'Смута': 0
